codgeo,dep,reg,weight_dep,weight_reg,weight_fr
02181,02,32.0,16,1,1
02182,02,32.0,25,2,1
02183,02,32.0,36,3,2
02184,02,32.0,70,6,5
02185,02,32.0,71,6,5
02186,02,32.0,264,22,19
02187,02,32.0,209,18,15
02188,02,32.0,31,2,2
02189,02,32.0,73,6,5
02190,02,32.0,113,9,8
02191,02,32.0,101,8,7
02192,02,32.0,67,5,4
02193,02,32.0,13,1,0
02194,02,32.0,41,3,3
02195,02,32.0,196,16,14
02196,02,32.0,65,5,4
02197,02,32.0,97,8,7
02198,02,32.0,23,2,1
02199,02,32.0,122,10,9
02200,02,32.0,25,2,1
02201,02,32.0,77,6,5
02203,02,32.0,271,23,20
02204,02,32.0,13,1,1
02205,02,32.0,46,4,3
02206,02,32.0,18,1,1
02207,02,32.0,45,3,3
02208,02,32.0,29,2,2
02209,02,32.0,133,11,9
02210,02,32.0,63,5,4
02211,02,32.0,55,4,4
02212,02,32.0,145,12,10
02213,02,32.0,38,3,2
02214,02,32.0,12,1,0
02215,02,32.0,127,11,9
02216,02,32.0,62,5,4
02217,02,32.0,191,16,14
02218,02,32.0,91,7,6
02219,02,32.0,40,3,3
02220,02,32.0,92,7,6
02221,02,32.0,13,1,1
02222,02,32.0,5,0,0
02223,02,32.0,47,4,3
02224,02,32.0,68,5,5
02225,02,32.0,21,1,1
02226,02,32.0,317,27,23
02227,02,32.0,30,2,2
02228,02,32.0,66,5,4
02229,02,32.0,4,0,0
02230,02,32.0,15,1,1
02231,02,32.0,159,13,11
02232,02,32.0,81,7,6
02233,02,32.0,9,0,0
02234,02,32.0,15,1,1
02235,02,32.0,24,2,1
02236,02,32.0,66,5,4
02237,02,32.0,257,22,19
02238,02,32.0,362,31,26
02239,02,32.0,207,17,15
02240,02,32.0,54,4,4
02241,02,32.0,21,1,1
02242,02,32.0,98,8,7
02243,02,32.0,577,50,42
02244,02,32.0,14,1,1
02245,02,32.0,372,32,27
02246,02,32.0,87,7,6
02248,02,32.0,36,3,2
02249,02,32.0,21,1,1
02250,02,32.0,2,0,0
02251,02,32.0,0,0,0
02252,02,32.0,15,1,1
02253,02,32.0,42,3,3
02254,02,32.0,8,0,0
02255,02,32.0,11,0,0
02256,02,32.0,24,2,1
02257,02,32.0,86,7,6
02258,02,32.0,73,6,5
02259,02,32.0,80,6,5
02260,02,32.0,95,8,7
02261,02,32.0,76,6,5
02262,02,32.0,22,1,1
02263,02,32.0,26,2,1
02264,02,32.0,145,12,10
02265,02,32.0,16,1,1
02266,02,32.0,9,0,0
02267,02,32.0,47,4,3
02268,02,32.0,136,11,10
02269,02,32.0,30,2,2
02270,02,32.0,12,1,0
02271,02,32.0,24,2,1
02272,02,32.0,16,1,1
02273,02,32.0,40,3,3
02274,02,32.0,43,3,3
02275,02,32.0,51,4,3
02276,02,32.0,26,2,1
02277,02,32.0,60,5,4
02278,02,32.0,6,0,0
02279,02,32.0,95,8,7
02280,02,32.0,68,5,5
02281,02,32.0,31,2,2
02282,02,32.0,53,4,3
02283,02,32.0,40,3,3
02284,02,32.0,3,0,0
02286,02,32.0,175,15,13
02287,02,32.0,198,17,14
02288,02,32.0,50,4,3
02289,02,32.0,66,5,4
02290,02,32.0,575,49,42
02291,02,32.0,83,7,6
02292,02,32.0,232,20,17
02293,02,32.0,117,10,8
02294,02,32.0,43,3,3
02295,02,32.0,178,15,13
02296,02,32.0,223,19,16
02297,02,32.0,21,1,1
02298,02,32.0,280,24,20
02299,02,32.0,97,8,7
02302,02,32.0,38,3,2
