codgeo,dep,reg,weight_dep,weight_reg,weight_fr
01382,01,84.0,44,3,3
01383,01,84.0,216,17,19
01384,01,84.0,377,29,33
01385,01,84.0,159,12,14
01386,01,84.0,179,14,15
01387,01,84.0,39,3,3
01388,01,84.0,173,13,15
01389,01,84.0,291,22,25
01390,01,84.0,197,15,17
01391,01,84.0,43,3,3
01392,01,84.0,106,8,9
01393,01,84.0,83,6,7
01396,01,84.0,150,11,13
01397,01,84.0,158,12,13
01398,01,84.0,218,17,19
01399,01,84.0,301,23,26
01400,01,84.0,20,1,1
01401,01,84.0,326,25,28
01402,01,84.0,104,8,9
01403,01,84.0,189,14,16
01404,01,84.0,5,0,0
01405,01,84.0,186,14,16
01406,01,84.0,27,2,2
01407,01,84.0,158,12,13
01408,01,84.0,107,8,9
01410,01,84.0,27,2,2
01411,01,84.0,42,3,3
01412,01,84.0,63,4,5
01415,01,84.0,64,5,5
01416,01,84.0,156,12,13
01418,01,84.0,143,11,12
01419,01,84.0,982,77,86
01420,01,84.0,312,24,27
01421,01,84.0,90,7,7
01422,01,84.0,218,17,19
01423,01,84.0,151,11,13
01424,01,84.0,254,20,22
01425,01,84.0,44,3,3
01426,01,84.0,405,31,35
01427,01,84.0,1095,86,96
01428,01,84.0,6,0,0
01429,01,84.0,84,6,7
01430,01,84.0,68,5,6
01431,01,84.0,191,15,16
01432,01,84.0,29,2,2
01433,01,84.0,49,3,4
01434,01,84.0,63,4,5
01435,01,84.0,360,28,31
01436,01,84.0,82,6,7
01437,01,84.0,35,2,3
01439,01,84.0,14,1,1
01441,01,84.0,87,6,7
01443,01,84.0,745,58,65
01444,01,84.0,170,13,15
01445,01,84.0,103,8,9
01446,01,84.0,210,16,18
01447,01,84.0,180,14,15
01448,01,84.0,34,2,3
01449,01,84.0,116,9,10
01450,01,84.0,568,44,50
01451,01,84.0,1001,78,88
01452,01,84.0,154,12,13
01453,01,84.0,115,9,10
01454,01,84.0,172,13,15
01456,01,84.0,2,0,0
01457,01,84.0,481,37,42
02001,02,32.0,73,6,5
02002,02,32.0,115,9,8
02003,02,32.0,197,17,14
02004,02,32.0,13,1,0
02005,02,32.0,75,6,5
02006,02,32.0,37,3,2
02007,02,32.0,5,0,0
02008,02,32.0,53,4,3
02009,02,32.0,102,8,7
02010,02,32.0,13,1,0
02011,02,32.0,229,19,16
02012,02,32.0,1,0,0
02013,02,32.0,78,6,5
02014,02,32.0,123,10,9
02015,02,32.0,15,1,1
02016,02,32.0,39,3,2
02017,02,32.0,59,5,4
02018,02,32.0,501,43,36
02019,02,32.0,73,6,5
02020,02,32.0,72,6,5
02021,02,32.0,18,1,1
02022,02,32.0,76,6,5
02023,02,32.0,21,1,1
02024,02,32.0,9,0,0
02025,02,32.0,45,3,3
02027,02,32.0,27,2,2
02028,02,32.0,505,43,37
02029,02,32.0,53,4,3
02030,02,32.0,54,4,3
02031,02,32.0,84,7,6
02032,02,32.0,22,1,1
02033,02,32.0,20,1,1
02034,02,32.0,6,0,0
02035,02,32.0,31,2,2
02036,02,32.0,16,1,1
02037,02,32.0,279,24,20
02038,02,32.0,11,1,0
02039,02,32.0,29,2,2
02040,02,32.0,36,3,2
02041,02,32.0,159,13,11
02042,02,32.0,73,6,5
02043,02,32.0,13,1,0
02044,02,32.0,3,0,0
02046,02,32.0,80,6,5
02047,02,32.0,20,1,1
02048,02,32.0,23,2,1
02049,02,32.0,145,12,10
02050,02,32.0,53,4,3
02051,02,32.0,53,4,3
02052,02,32.0,30,2,2
02053,02,32.0,73,6,5
02054,02,32.0,84,7,6
02055,02,32.0,17,1,1
02056,02,32.0,11,1,0
02057,02,32.0,288,24,21
02058,02,32.0,131,11,9
02059,02,32.0,491,42,36
02060,02,32.0,49,4,3
02061,02,32.0,43,3,3
02062,02,32.0,24,2,1
