DEPCOM;DEP;REG;PTOT;weight_fr;weight_reg;weight_dep
002299;002;32;576;1;10;11
002302;002;32;329;1;6;7
002303;002;32;671;1;12;13
002304;002;32;2999;5;50;55
002305;002;32;3108;5;51;57
002306;002;32;550;1;10;11
002307;002;32;2243;4;37;42
002308;002;32;494;1;9;10
002309;002;32;685;2;12;13
002310;002;32;263;1;5;5
002311;002;32;131;1;3;3
002312;002;32;1128;2;19;21
002313;002;32;473;1;8;9
002315;002;32;1716;3;29;32
002316;002;32;141;1;3;3
002317;002;32;224;1;4;5
002318;002;32;1404;3;24;26
002319;002;32;476;1;8;9
002320;002;32;254;1;5;5
002321;002;32;1095;2;18;21
002322;002;32;392;1;7;8
002323;002;32;131;1;3;3
002324;002;32;280;1;5;6
002326;002;32;498;1;9;10
002327;002;32;166;1;3;4
002328;002;32;530;1;9;10
002329;002;32;428;1;8;8
002330;002;32;481;1;8;9
002331;002;32;116;1;2;3
002332;002;32;272;1;5;5
002333;002;32;161;1;3;3
002334;002;32;3014;5;50;56
002335;002;32;197;1;4;4
002336;002;32;1013;2;17;19
002337;002;32;180;1;3;4
002338;002;32;269;1;5;5
002339;002;32;696;2;12;13
002340;002;32;5360;8;88;99
002341;002;32;278;1;5;6
002342;002;32;137;1;3;3
002343;002;32;81;1;2;2
002345;002;32;43;1;1;1
002346;002;32;684;2;12;13
002347;002;32;456;1;8;9
002349;002;32;57;1;1;2
002350;002;32;137;1;3;3
002351;002;32;122;1;3;3
002352;002;32;570;1;10;11
002353;002;32;312;1;6;6
002354;002;32;85;1;2;2
002355;002;32;1007;2;17;19
002356;002;32;254;1;5;5
002357;002;32;75;1;2;2
002358;002;32;363;1;6;7
002359;002;32;1382;3;23;26
002360;002;32;2740;5;45;51
002361;002;32;4929;8;81;91
002362;002;32;254;1;5;5
002363;002;32;427;1;8;8
002364;002;32;258;1;5;5
002366;002;32;324;1;6;6
002367;002;32;137;1;3;3
002368;002;32;588;1;10;11
002369;002;32;244;1;5;5
002370;002;32;602;1;10;12
002371;002;32;1646;3;28;31
002372;002;32;381;1;7;7
002373;002;32;213;1;4;4
002374;002;32;885;2;15;17
002375;002;32;170;1;3;4
002376;002;32;171;1;3;4
002377;002;32;151;1;3;3
002378;002;32;149;1;3;3
002379;002;32;351;1;6;7
002380;002;32;26;1;1;1
002381;002;32;9001;14;148;165
002382;002;32;1427;3;24;27
002383;002;32;1510;3;25;28
002384;002;32;55;1;1;2
002385;002;32;156;1;3;3
002386;002;32;241;1;4;5
002387;002;32;1066;2;18;20
002388;002;32;234;1;4;5
002389;002;32;661;1;11;13
002390;002;32;273;1;5;5
002391;002;32;205;1;4;4
002392;002;32;302;1;5;6
002393;002;32;149;1;3;3
002395;002;32;152;1;3;3
002396;002;32;65;1;2;2
002397;002;32;1278;2;21;24
002398;002;32;281;1;5;6
002399;002;32;604;1;10;12
002400;002;32;153;1;3;3
002401;002;32;197;1;4;4
002402;002;32;38;1;1;1
002403;002;32;276;1;5;6
002404;002;32;187;1;4;4
002405;002;32;546;1;9;10
002406;002;32;142;1;3;3
002407;002;32;187;1;4;4
002408;002;32;25549;38;420;468
002409;002;32;272;1;5;5
002410;002;32;255;1;5;5
002411;002;32;213;1;4;4
002412;002;32;100;1;2;2
002413;002;32;254;1;5;5
002414;002;32;207;1;4;4
002415;002;32;163;1;3;3
002416;002;32;441;1;8;9
002417;002;32;100;1;2;2
002418;002;32;217;1;4;4
002419;002;32;279;1;5;6
002420;002;32;844;2;14;16
002421;002;32;103;1;2;2
002422;002;32;817;2;14;15
002423;002;32;428;1;8;8
002424;002;32;106;1;2;2
002425;002;32;176;1;3;4
002426;002;32;555;1;10;11
002427;002;32;142;1;3;3
002428;002;32;76;1;2;2
002429;002;32;119;1;2;3
002430;002;32;1404;3;24;26
002431;002;32;401;1;7;8
002432;002;32;190;1;4;4
002433;002;32;235;1;4;5
002435;002;32;74;1;2;2
002438;002;32;271;1;5;5
002439;002;32;1200;2;20;22
002440;002;32;142;1;3;3
002441;002;32;202;1;4;4
002442;002;32;92;1;2;2
002443;002;32;202;1;4;4
002444;002;32;114;1;2;3
002445;002;32;291;1;5;6
002446;002;32;122;1;3;3
002447;002;32;152;1;3;3
002448;002;32;125;1;3;3
002449;002;32;76;1;2;2
002450;002;32;378;1;7;7
002451;002;32;126;1;3;3
002452;002;32;246;1;5;5
002453;002;32;414;1;7;8
002454;002;32;413;1;7;8
002455;002;32;204;1;4;4
002456;002;32;311;1;6;6
002457;002;32;438;1;8;9
002458;002;32;834;2;14;16
002459;002;32;181;1;3;4
002460;002;32;195;1;4;4
002461;002;32;375;1;7;7
002462;002;32;242;1;4;5
002463;002;32;88;1;2;2
002464;002;32;372;1;7;7
002465;002;32;490;1;9;9
002466;002;32;130;1;3;3
