age,reg,weight_reg
45,93.0,116
45,94.0,8
46,1.0,47
46,11.0,289
46,24.0,59
46,27.0,64
46,28.0,75
46,32.0,138
46,44.0,130
46,52.0,88
46,53.0,78
46,75.0,137
46,76.0,132
46,84.0,190
46,93.0,115
46,94.0,9
47,1.0,47
47,11.0,283
47,24.0,60
47,27.0,63
47,28.0,75
47,32.0,135
47,44.0,128
47,52.0,86
47,53.0,77
47,75.0,135
47,76.0,133
47,84.0,185
47,93.0,116
47,94.0,9
48,1.0,46
48,11.0,280
48,24.0,60
48,27.0,64
48,28.0,75
48,32.0,135
48,44.0,132
48,52.0,84
48,53.0,77
48,75.0,134
48,76.0,131
48,84.0,184
48,93.0,115
48,94.0,8
49,1.0,49
49,11.0,279
49,24.0,59
49,27.0,65
49,28.0,76
49,32.0,135
49,44.0,131
49,52.0,86
49,53.0,77
49,75.0,138
49,76.0,133
49,84.0,187
49,93.0,118
49,94.0,9
50,1.0,47
50,11.0,283
50,24.0,61
50,27.0,65
50,28.0,76
50,32.0,135
50,44.0,135
50,52.0,86
50,53.0,77
50,75.0,138
50,76.0,134
50,84.0,186
50,93.0,120
50,94.0,9
51,1.0,50
51,11.0,280
51,24.0,59
51,27.0,64
51,28.0,75
51,32.0,136
51,44.0,134
51,52.0,85
51,53.0,78
51,75.0,136
51,76.0,134
51,84.0,184
51,93.0,116
51,94.0,9
52,1.0,48
52,11.0,271
52,24.0,60
52,27.0,65
52,28.0,77
52,32.0,136
52,44.0,134
52,52.0,85
52,53.0,77
52,75.0,136
52,76.0,132
52,84.0,182
52,93.0,117
52,94.0,8
53,1.0,47
53,11.0,267
53,24.0,59
53,27.0,63
53,28.0,77
53,32.0,137
53,44.0,132
53,52.0,83
53,53.0,78
53,75.0,135
53,76.0,131
53,84.0,180
53,93.0,116
53,94.0,8
54,1.0,45
54,11.0,264
54,24.0,59
54,27.0,63
54,28.0,77
54,32.0,132
54,44.0,131
54,52.0,83
54,53.0,76
54,75.0,134
54,76.0,129
54,84.0,174
54,93.0,113
54,94.0,8
55,1.0,43
55,11.0,256
55,24.0,58
55,27.0,63
55,28.0,74
55,32.0,131
55,44.0,129
55,52.0,83
55,53.0,76
55,75.0,133
55,76.0,129
55,84.0,172
55,93.0,112
55,94.0,8
56,1.0,43
56,11.0,251
56,24.0,58
56,27.0,63
56,28.0,75
56,32.0,130
56,44.0,130
56,52.0,81
56,53.0,76
56,75.0,132
56,76.0,127
56,84.0,169
