cim10;init;gpe;charls
D447;;tumeur;
D448;;tumeur;
D449;;tumeur;
D45;;tumeur;
D46;;tumeur;
D460;;tumeur;
D461;;tumeur;
D462;;tumeur;
D463;;tumeur;
D464;;tumeur;
D465;;tumeur;
D466;;tumeur;
D467;;tumeur;
D469;;tumeur;
D47;;tumeur;
D470;;tumeur;
D471;;tumeur;
D472;;tumeur;
D473;;tumeur;
D474;;tumeur;
D475;;tumeur;
D477;;tumeur;
D479;;tumeur;
D48;;tumeur;
D480;;tumeur;
D481;;tumeur;
D482;;tumeur;
D483;;tumeur;
D4830;;tumeur;
D4838;;tumeur;
D484;;tumeur;
D485;;tumeur;
D486;;tumeur;
D487;;tumeur;
D489;;tumeur;
D684;;ld;
E10;;diab;
E100;;diab;diab
E101;;diab;diab
E102;;diab;diab_c
E103;;diab;diab_c
E104;;diab;diab_c
E105;;diab;diab_c
E106;;diab;diab
E107;;diab;diab_c
E108;;diab;diab
E109;;diab;diab
E11;;diab;
E110;;diab;diab
E1100;;diab;diab
E1108;;diab;diab
E111;;diab;diab
E1110;;diab;diab
E1118;;diab;diab
E112;;diab;diab_c
E1120;;diab;diab_c
E1128;;diab;diab_c
E113;;diab;diab_c
E1130;;diab;diab_c
E1138;;diab;diab_c
E114;;diab;diab_c
E1140;;diab;diab_c
E1148;;diab;diab_c
E115;;diab;diab_c
E1150;;diab;diab_c
E1158;;diab;diab_c
E116;;diab;diab
E1160;;diab;diab
E1168;;diab;diab
E117;;diab;diab_c
E1170;;diab;diab_c
E1178;;diab;diab_c
E118;;diab;diab
E1180;;diab;diab
E1188;;diab;diab
E119;;diab;diab
E1190;;diab;diab
E1198;;diab;diab
E12;;diab;
E120;;diab;diab
E121;;diab;diab
E122;;diab;diab_c
E123;;diab;diab_c
E124;;diab;diab_c
E125;;diab;diab_c
E126;;diab;diab
E127;;diab;diab_c
E128;;diab;diab
E129;;diab;diab
E13;;diab;
E130;;diab;diab
E131;;diab;diab
E132;;diab;diab_c
E133;;diab;diab_c
E134;;diab;diab_c
E135;;diab;diab_c
E136;;diab;diab
E137;;diab;diab_c
E138;;diab;diab
E139;;diab;diab
E14;;diab;
E140;;diab;diab
E141;;diab;diab
E142;;diab;diab_c
E143;;diab;diab_c
E144;;diab;diab_c
E145;;diab;diab_c
E146;;diab;diab
E147;;diab;diab_c
E148;;diab;diab
E149;;diab;diab
E244;;alcool;
E66;;obesity;
E660;;obesity;
E6600;;obesity;
E6601;;obesity;
E6602;;obesity;
E6603;;obesity;
E6604;;obesity;
E6605;;obesity;
E6606;;obesity;
E6607;;obesity;
E6609;;obesity;
E661;;obesity;
E6610;;obesity;
E6611;;obesity;
E6612;;obesity;
E6613;;obesity;
E6614;;obesity;
E6615;;obesity;
E6616;;obesity;
E6617;;obesity;
E6619;;obesity;
E662;;obesity;
E6620;;obesity;
E6621;;obesity;
E6622;;obesity;
E6624;;obesity;
E6625;;obesity;
E6626;;obesity;
E6627;;obesity;
